"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1632","TC_21 |Verify add review on product","chromium","Wed Mar 25 02:04:58 UTC 2026","passed","Wed Mar 25 02:04:59 UTC 2026","Add review on product","addReviewOnProduct.spec.js","",""
"","2975","TC_12 | Verify add products in cart","chromium","Wed Mar 25 02:04:53 UTC 2026","passed","Wed Mar 25 02:04:56 UTC 2026","Add Products in Cart","addProductsInCartPage.spec.js","",""
"","2622","TC_13 |Verify product quantity in cart","chromium","Wed Mar 25 02:06:11 UTC 2026","passed","Wed Mar 25 02:06:14 UTC 2026","Product quantity in Cart","verifyProductQuantityInCartPage.spec.js","",""
"","7779","TC_22 |Verify add to cart from recommended items","chromium","Wed Mar 25 02:04:59 UTC 2026","passed","Wed Mar 25 02:05:07 UTC 2026","Add to cart from Recommended items","addToCartFromRecommendedItems.spec.js","",""
"","2806","TC_25 |Verify scroll up using 'Arrow' button and scroll down functionality","chromium","Wed Mar 25 02:06:14 UTC 2026","passed","Wed Mar 25 02:06:16 UTC 2026","Verify Scroll Up using 'Arrow' button and Scroll Down functionality","verifyScrollUpUsingArrowButtonAndScrollDown.spec.js","",""
"","4812","TC_20 |Verify search products and verify cart after login","chromium","Wed Mar 25 02:06:00 UTC 2026","passed","Wed Mar 25 02:06:05 UTC 2026","Search Products and Verify Cart After Login","searchProductsAndVerifyCartAfterLogin.spec.js","",""
"","1493","TC_18 |Verify view category products","chromium","Wed Mar 25 02:06:21 UTC 2026","passed","Wed Mar 25 02:06:23 UTC 2026","View Category Products","viewCategoryProductsPage.spec.js","",""
"","1915","TC_02 |Verify login user with correct email and password","chromium","Wed Mar 25 02:05:24 UTC 2026","passed","Wed Mar 25 02:05:26 UTC 2026","Login User with correct email and password","loginUserWithCorrectEmailAndPassword.spec.js","",""
"","2222","TC_04 |Verify logout user","chromium","Wed Mar 25 02:05:28 UTC 2026","passed","Wed Mar 25 02:05:30 UTC 2026","Logout User","logoutUser.spec.js","",""
"","8393","TC_24 |Verify download invoice after purchase order","chromium","Wed Mar 25 02:05:14 UTC 2026","passed","Wed Mar 25 02:05:23 UTC 2026","Download Invoice after purchase order","downloadInvoiceAfterPurchaseOrder.spec.js","",""
"","1764","TC_19 |Verify view and cart brand products","chromium","Wed Mar 25 02:06:20 UTC 2026","passed","Wed Mar 25 02:06:21 UTC 2026","View and Cart Brand Products","viewCartBrandProducts.spec.js","",""
"","4618","TC_23 |Verify address details in checkout page","chromium","Wed Mar 25 02:06:06 UTC 2026","passed","Wed Mar 25 02:06:11 UTC 2026","Verify address details in checkout page","verifyAddressDetailsInCheckoutPage.spec.js","",""
"","1812","TC_03 |Verify login user with incorrect email and password","chromium","Wed Mar 25 02:05:26 UTC 2026","passed","Wed Mar 25 02:05:28 UTC 2026","Login User with incorrect email and password","loginUserWithIncorrectEmail.spec.js","",""
"","3015","TC_26 |Verify scroll up without 'Arrow' button and scroll down functionality","chromium","Wed Mar 25 02:06:16 UTC 2026","passed","Wed Mar 25 02:06:19 UTC 2026","Verify Scroll Up without 'Arrow' button and Scroll Down functionality","verifyScrollUpWithoutArrowButtonAndScrollDown.spec.js","",""
"","6491","TC_15 |Verify Place Order: register before checkout","chromium","Wed Mar 25 02:05:37 UTC 2026","passed","Wed Mar 25 02:05:44 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","3283","TC_17 |Verify remove products from cart","chromium","Wed Mar 25 02:05:55 UTC 2026","passed","Wed Mar 25 02:05:58 UTC 2026","Remove Products From Cart","removeProductsFromCartPage.spec.js","",""
"","1409","TC_10 | Verify subscription in home page","chromium","Wed Mar 25 02:05:23 UTC 2026","passed","Wed Mar 25 02:05:24 UTC 2026","Verify Subscription in home page","homePage.spec.js","",""
"","1356","TC_07 |Verify test cases page","chromium","Wed Mar 25 02:06:05 UTC 2026","passed","Wed Mar 25 02:06:06 UTC 2026","Test Cases Page","testCasesPage.spec.js","",""
"","1148","TC_11 | Verify subscription in cart page","chromium","Wed Mar 25 02:05:09 UTC 2026","passed","Wed Mar 25 02:05:10 UTC 2026","Verify Subscription in Cart page","cartPage.spec.js","",""
"","1483","TC_08 |Verify all products and product detail page","chromium","Wed Mar 25 02:05:07 UTC 2026","passed","Wed Mar 25 02:05:09 UTC 2026","Verify All Products and product detail page","allProductsAndProductsDetailPage.spec.js","",""
"","2333","TC_09 |Verify search product","chromium","Wed Mar 25 02:05:58 UTC 2026","passed","Wed Mar 25 02:06:00 UTC 2026","Search Product","searchProductPage.spec.js","",""
"","6951","TC_14 |Verify Place Order: register while checkout","chromium","Wed Mar 25 02:05:30 UTC 2026","passed","Wed Mar 25 02:05:37 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","1223","TC_05 |Verify register user with existing email","chromium","Wed Mar 25 02:05:53 UTC 2026","passed","Wed Mar 25 02:05:55 UTC 2026","Register User with existing email","registerUserWithExistingEmail.spec.js","",""
"","4681","TC_06 |Verify contact us form","chromium","Wed Mar 25 02:05:10 UTC 2026","passed","Wed Mar 25 02:05:14 UTC 2026","Contact Us Form","contactUsFormPage.spec.js","",""
"","4801","TC_16 |Verify Place Order: login before checkout","chromium","Wed Mar 25 02:05:44 UTC 2026","passed","Wed Mar 25 02:05:49 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","4688","TC_01 |Verify register user","chromium","Wed Mar 25 02:05:49 UTC 2026","passed","Wed Mar 25 02:05:53 UTC 2026","Register User","registerUserPage.spec.js","",""
